eva,country,crew,vehicle,date,duration,purpose
1.0,USA,Ed White;,Gemini IV,1965-06-03,0:36,First U.S. EVA. Used HHMU and took  photos.  Gas flow cooling of 25ft umbilical overwhelmed by vehicle ingress work and helmet fogged.  Lost overglove.  Jettisoned thermal gloves and helmet sun visor
3.0,USA,Eugene Cernan;,Gemini IX-A,1966-06-05,2:07,"Inadequate restraints, stiff 25ft umbilical and high workloads exceeded suit vent loop cooling capacity and caused fogging.  Demo called off of tethered astronaut maneuvering unit"
4.0,USA,Mike Collins;,Gemini X,1966-07-19,0:50,Standup EVA.  UV photos of stars.  Ended by eye irritation that impaired vision 
5.0,USA,Mike Collins;,Gemini X,1966-07-20,0:39,Retrieved MMOD experiment from docked Agena.  Used HHMU. Lost camera and retrieved experiment. EVA ended early by unrelated spacecraft problem
6.0,USA,Richard Gordon;,Gemini XI,1966-09-13,0:44,"Attached tether between Agena and Gemini.  EVA ended early due to fatigue, overheating & eye sweat"
7.0,USA,Richard Gordon;,Gemini XI,1966-09-14,2:10,Standup EVA.  Took star photos. Agena tether ops
8.0,USA,Buzz Aldrin;,Gemini XII,1966-11-12,2:29,Standup EVA.  Science tasks.  Took star photos
9.0,USA,Buzz Aldrin;,Gemini XII,1966-11-13,2:06,Attached tether between Agena and Gemini.  UV photos of stars.  Waist tether and Dutch shoe eval
10.0,USA,Buzz Aldrin;,Gemini XII,1966-11-14,0:55,Standup EVA.  Jettisoned equipment.  Took photos
11.0,USA,David Scott;,Apollo 9,1969-03-06,0:47,Standup EVA from crew module.  Retrieved thermal experiment samples
12.0,USA,Russ Schweickart;,Apollo 9,1969-03-06,0:51,Lunar module based.  Took photos.  Evaluated foot restraint and handrails.  Retrieved thermal experiment samples.  First use of PLSS followed by recharge demo after EVA
13.0,USA,Neil Armstrong;Buzz Aldrin;,Apollo 11,1969-07-20,2:32,First to walk on the moon.  Some trouble getting out small hatch.  46.3 lb of geologic material collected.  EASEP seismograph and laser reflector exp deployed.  Solar wind exp deployed & retrieved.  400 ft (120m) circuit on foot.  Dust issue post EVA
14.0,USA,Neil Armstrong;Buzz Aldrin;,Apollo 11,1969-07-20,0:05,Jettison suit backpacks and equip to lighten ascent
15.0,USA,Allen Bean;Pete Conrad;,Apollo 12,1969-11-19,3:39,Collected 75.6 lb of geologic material.  ALSEP exp deployed.  6000 ft (1800m) circuit on foot
16.0,USA,Allen Bean;Pete Conrad;,Apollo 12,1969-11-20,3:48,Retrieved parts of Surveyor 3 spacecraft.   
17.0,USA,Allen Bean;Pete Conrad;,Apollo 12,1969-11-20,0:05,Jettison suit backpacks and equip to lighten ascent
18.0,USA,Ed Mitchell;Alan Shepard;,Apollo 14,1971-02-05,4:48,Collected 94.4 lb of geologic material.  ALSEP and laser reflector exp deployed.  Hiked up to 0.9 miles (1.5km) from lunar module.  Used MET rickshaw
19.0,USA,Ed Mitchell;Alan Shepard;,Apollo 14,1971-02-06,4:34,Sought but did not quite reach crater.  Golf demo
20.0,USA,Ed Mitchell;Alan Shepard;,Apollo 14,1971-02-06,0:05,Jettison suit backpacks and equip to lighten ascent
21.0,USA,David Scott;,Apollo 15,1971-07-30,0:33,Standup EVA to scout and photograph lunar surface before traverse
22.0,USA,David Scott;James Irwin;,Apollo 15,1971-07-31,6:34,Collected 169 lb of geologic material.  ALSEP exp deployed.  First use of the lunar rover.  Covered 6.2 mile (10.3 km) circuit
23.0,USA,David Scott;James Irwin;,Apollo 15,1971-08-01,7:12,
24.0,USA,David Scott;James Irwin;,Apollo 15,1971-08-02,4:49,
25.0,USA,David Scott;James Irwin;,Apollo 15,1971-08-02,0:05,Jettison suit backpacks and equip to lighten ascent
26.0,USA,Al Worden;,Apollo 15,1971-08-05,0:39,First transearth EVA.  Retrieved 2 camera film cassettes
27.0,USA,John Young;Charles Duke;,Apollo 16,1972-04-21,7:11,Collected 208 lb of rock/dust (41lb this day). ALSEP & solar wind experiments deployed. Assembled and used lunar rover (4.2 km).  
28.0,USA,John Young;Charles Duke;,Apollo 16,1972-04-22,7:23,Collected 82 lb of rock/dust. Drove rover 11.5 km
29.0,USA,John Young;Charles Duke;,Apollo 16,1972-04-23,5:40,Collected 90 lb of rock/dust.  Drove rover 27.1 km
30.0,USA,John Young;Charles Duke;,Apollo 16,1972-04-23,0:04,Jettison suit backpacks and equip to lighten ascent
31.0,USA,Tom Mattingly;,Apollo 16,1972-04-25,1:23,Transearth EVA to retrieve camera film and expose microbial response experiment
32.0,USA,Harrison Schmidt;Eugene Cernan;;,Apollo 17,1972-12-11,7:12,Collected 243 lb of geologic material.  ALSEP exp deployed.   8 seismic explosive charges placed for later use.  Used lunar rover to travel 11.4 miles (19 km) circuit with max range of 4.9 miles from lunar module.
33.0,USA,Harrison Schmidt;Eugene Cernan;;,Apollo 17,1972-12-12,7:37,
34.0,USA,Harrison Schmidt;Eugene Cernan;;,Apollo 17,1972-12-13,7:16,
